Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Plate2_H03_G39B_10471048_DMT79_R1	70.37037037037038	56.0	251.0	251	63.63636363636363	3888.0
Plate2_H03_G39B_10471048_DMT79_R2	77.41769547325103	54.0	251.0	251	27.27272727272727	3888.0
Plate2_H04_G40B_10471048_DMT79_R1	62.88114499066584	57.0	251.0	251	63.63636363636363	3214.0
Plate2_H04_G40B_10471048_DMT79_R2	73.27317983820784	55.0	251.0	251	27.27272727272727	3214.0
Plate2_H05_S1B_10471048_DMT79_R1	59.97126436781609	58.0	251.0	251	54.54545454545454	3480.0
Plate2_H05_S1B_10471048_DMT79_R2	71.95402298850574	56.0	251.0	251	27.27272727272727	3480.0
Plate2_H06_S2B_10471048_DMT79_R1	62.55411255411256	58.0	251.0	251	54.54545454545454	3696.0
Plate2_H06_S2B_10471048_DMT79_R2	71.42857142857143	56.0	251.0	251	27.27272727272727	3696.0
Plate2_H07_S3B_10471048_DMT79_R1	62.608695652173914	58.0	251.0	251	45.45454545454545	3450.0
Plate2_H07_S3B_10471048_DMT79_R2	72.92753623188406	56.0	251.0	251	27.27272727272727	3450.0
Plate2_H08_S4B_10471048_DMT79_R1	62.3662488535616	58.0	251.0	251	54.54545454545454	3271.0
Plate2_H08_S4B_10471048_DMT79_R2	69.42830938550901	56.0	251.0	251	27.27272727272727	3271.0
Plate2_H09_S5B_10471048_DMT79_R1	63.80452788514633	58.0	251.0	251	45.45454545454545	3622.0
Plate2_H09_S5B_10471048_DMT79_R2	71.23136388735506	56.0	251.0	251	27.27272727272727	3622.0
Plate3_A01_3B1B_10471048_DMT79_R1	61.85879757308329	57.0	251.0	251	45.45454545454545	3626.0
Plate3_A01_3B1B_10471048_DMT79_R2	68.03640375068946	55.0	251.0	251	27.27272727272727	3626.0
Plate3_A02_3B2B_10471048_DMT79_R1	65.36358665937671	57.0	251.0	251	63.63636363636363	3658.0
Plate3_A02_3B2B_10471048_DMT79_R2	72.49863313285948	54.0	251.0	251	27.27272727272727	3658.0
Plate3_A03_3B3B_10471048_DMT79_R1	67.21461187214612	57.0	251.0	251	54.54545454545454	4380.0
Plate3_A03_3B3B_10471048_DMT79_R2	71.7123287671233	55.0	251.0	251	27.27272727272727	4380.0
Plate3_A04_3B4B_10471048_DMT79_R1	63.89486260454002	58.0	251.0	251	45.45454545454545	4185.0
Plate3_A04_3B4B_10471048_DMT79_R2	73.5005973715651	56.0	251.0	251	27.27272727272727	4185.0
Plate3_A05_3B5B_10471048_DMT79_R1	65.25964166413604	57.0	251.0	251	54.54545454545454	3293.0
Plate3_A05_3B5B_10471048_DMT79_R2	72.91223808077741	55.0	251.0	251	27.27272727272727	3293.0
Plate3_A06_3B6B_10471048_DMT79_R1	67.23285314986025	57.0	251.0	251	54.54545454545454	4651.0
Plate3_A06_3B6B_10471048_DMT79_R2	73.08105783702429	55.0	251.0	251	27.27272727272727	4651.0
Plate3_A07_3B7B_10471048_DMT79_R1	65.52690582959642	57.0	251.0	251	63.63636363636363	3568.0
Plate3_A07_3B7B_10471048_DMT79_R2	73.09417040358744	55.0	251.0	251	27.27272727272727	3568.0
Plate3_A08_3B8B_10471048_DMT79_R1	67.97297297297297	57.0	251.0	251	54.54545454545454	3700.0
Plate3_A08_3B8B_10471048_DMT79_R2	74.5945945945946	55.0	251.0	251	27.27272727272727	3700.0
Plate3_A09_3B9B_10471048_DMT79_R1	66.34549208534068	57.0	251.0	251	63.63636363636363	4359.0
Plate3_A09_3B9B_10471048_DMT79_R2	74.90250057352604	55.0	251.0	251	36.36363636363637	4359.0
Plate3_A10_3B10B_10471048_DMT79_R1	64.17304015296367	57.0	251.0	251	45.45454545454545	4184.0
Plate3_A10_3B10B_10471048_DMT79_R2	72.87284894837477	55.0	251.0	251	27.27272727272727	4184.0
Plate3_A11_3G1B_10471048_DMT79_R1	57.47171283651971	57.0	251.0	251	54.54545454545454	2563.0
Plate3_A11_3G1B_10471048_DMT79_R2	65.07998439328912	55.0	251.0	251	36.36363636363637	2563.0
Plate3_A12_3G2B_10471048_DMT79_R1	57.28782287822878	57.0	251.0	251	54.54545454545454	2168.0
Plate3_A12_3G2B_10471048_DMT79_R2	64.57564575645756	55.0	251.0	251	27.27272727272727	2168.0
Plate3_B01_3G3B_10471048_DMT79_R1	65.91796875	57.0	251.0	251	63.63636363636363	4096.0
Plate3_B01_3G3B_10471048_DMT79_R2	72.216796875	55.0	251.0	251	36.36363636363637	4096.0
Plate3_B02_3G4B_10471048_DMT79_R1	62.70890496383138	57.0	251.0	251	54.54545454545454	4009.0
Plate3_B02_3G4B_10471048_DMT79_R2	71.33948615614867	55.0	251.0	251	27.27272727272727	4009.0
