Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Plate2_G11_V5B_10471048_DMT79_R1	Plate2_G11_V5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2859.0	717.6 kbp	0.0	251.0	56.0	26.302903112976566	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_G11_V5B_10471048_DMT79_R2	Plate2_G11_V5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2859.0	717.6 kbp	0.0	251.0	54.0	20.601608954179785	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_G12_G36B_10471048_DMT79_R1	Plate2_G12_G36B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3768.0	945.7 kbp	0.0	251.0	57.0	34.73991507430998	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_G12_G36B_10471048_DMT79_R2	Plate2_G12_G36B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3768.0	945.7 kbp	0.0	251.0	55.0	25.636942675159236	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_H01_G37B_10471048_DMT79_R1	Plate2_H01_G37B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4052.0	1 Mbp	0.0	251.0	55.0	26.62882527147088	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_H01_G37B_10471048_DMT79_R2	Plate2_H01_G37B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4052.0	1 Mbp	0.0	251.0	53.0	19.545903257650544	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_H02_G38B_10471048_DMT79_R1	Plate2_H02_G38B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3411.0	856.1 kbp	0.0	251.0	54.0	24.91937848138376	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_H02_G38B_10471048_DMT79_R2	Plate2_H02_G38B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3411.0	856.1 kbp	0.0	251.0	54.0	22.046320727059513	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_H03_G39B_10471048_DMT79_R1	Plate2_H03_G39B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3888.0	975.8 kbp	0.0	251.0	56.0	29.629629629629626	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_H03_G39B_10471048_DMT79_R2	Plate2_H03_G39B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3888.0	975.8 kbp	0.0	251.0	54.0	22.582304526748974	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_H04_G40B_10471048_DMT79_R1	Plate2_H04_G40B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3214.0	806.7 kbp	0.0	251.0	57.0	37.11885500933416	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_H04_G40B_10471048_DMT79_R2	Plate2_H04_G40B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3214.0	806.7 kbp	0.0	251.0	55.0	26.72682016179216	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
