Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Plate3_E10_3P3B_10471048_DMT79_R2	Plate3_E10_3P3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3440.0	863.4 kbp	0.0	251.0	55.0	29.651162790697676	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_E11_3P4B_10471048_DMT79_R1	Plate3_E11_3P4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4326.0	1 Mbp	0.0	251.0	58.0	35.09015256588072	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_E11_3P4B_10471048_DMT79_R2	Plate3_E11_3P4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4326.0	1 Mbp	0.0	251.0	56.0	28.502080443828014	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E12_3P5B_10471048_DMT79_R1	Plate3_E12_3P5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3152.0	791.1 kbp	0.0	251.0	57.0	38.039340101522846	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_E12_3P5B_10471048_DMT79_R2	Plate3_E12_3P5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3152.0	791.1 kbp	0.0	251.0	55.0	30.01269035532995	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_F01_3L1B_10471048_DMT79_R1	Plate3_F01_3L1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4876.0	1.2 Mbp	0.0	251.0	57.0	32.64971287940936	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_F01_3L1B_10471048_DMT79_R2	Plate3_F01_3L1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4876.0	1.2 Mbp	0.0	251.0	55.0	27.15340442986054	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F02_3L2B_10471048_DMT79_R1	Plate3_F02_3L2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4629.0	1.1 Mbp	0.0	251.0	57.0	31.281054223374376	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_F02_3L2B_10471048_DMT79_R2	Plate3_F02_3L2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4629.0	1.1 Mbp	0.0	251.0	55.0	25.750702095484986	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F03_3L3B_10471048_DMT79_R1	Plate3_F03_3L3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4239.0	1 Mbp	0.0	251.0	57.0	30.927105449398447	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_F03_3L3B_10471048_DMT79_R2	Plate3_F03_3L3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4239.0	1 Mbp	0.0	251.0	55.0	27.246992215145085	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F04_3L4B_10471048_DMT79_R1	Plate3_F04_3L4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4974.0	1.2 Mbp	0.0	251.0	58.0	33.07197426618416	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_F04_3L4B_10471048_DMT79_R2	Plate3_F04_3L4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4974.0	1.2 Mbp	0.0	251.0	56.0	25.231202251708883	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F05_3L5B_10471048_DMT79_R1	Plate3_F05_3L5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4288.0	1 Mbp	0.0	251.0	57.0	32.34608208955223	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_F05_3L5B_10471048_DMT79_R2	Plate3_F05_3L5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4288.0	1 Mbp	0.0	251.0	55.0	25.163246268656714	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F06_3V1B_10471048_DMT79_R1	Plate3_F06_3V1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4049.0	1 Mbp	0.0	251.0	58.0	35.46554704865399	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	fail	pass
Plate3_F06_3V1B_10471048_DMT79_R2	Plate3_F06_3V1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4049.0	1 Mbp	0.0	251.0	56.0	27.21659669054087	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F07_3V2B_10471048_DMT79_R1	Plate3_F07_3V2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3629.0	910.8 kbp	0.0	251.0	57.0	36.67677046018187	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_F07_3V2B_10471048_DMT79_R2	Plate3_F07_3V2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3629.0	910.8 kbp	0.0	251.0	55.0	27.638467897492426	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F08_3V3B_10471048_DMT79_R1	Plate3_F08_3V3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3482.0	873.9 kbp	0.0	251.0	57.0	34.03216542217117	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_F08_3V3B_10471048_DMT79_R2	Plate3_F08_3V3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3482.0	873.9 kbp	0.0	251.0	56.0	27.024698449167143	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F09_3V4B_10471048_DMT79_R1	Plate3_F09_3V4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4152.0	1 Mbp	0.0	251.0	58.0	33.23699421965318	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_F09_3V4B_10471048_DMT79_R2	Plate3_F09_3V4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4152.0	1 Mbp	0.0	251.0	56.0	25.096339113680155	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F10_3V5B_10471048_DMT79_R1	Plate3_F10_3V5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4648.0	1.1 Mbp	0.0	251.0	57.0	29.690189328743543	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_F10_3V5B_10471048_DMT79_R2	Plate3_F10_3V5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4648.0	1.1 Mbp	0.0	251.0	55.0	25.107573149741825	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F11_3G36B_10471048_DMT79_R1	Plate3_F11_3G36B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2609.0	654.8 kbp	0.0	251.0	58.0	39.287083173629746	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_F11_3G36B_10471048_DMT79_R2	Plate3_F11_3G36B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2609.0	654.8 kbp	0.0	251.0	56.0	31.4679954005366	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_F12_3G37B_10471048_DMT79_R1	Plate3_F12_3G37B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1569.0	393.8 kbp	0.0	251.0	58.0	46.08030592734226	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	fail	pass
Plate3_F12_3G37B_10471048_DMT79_R2	Plate3_F12_3G37B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1569.0	393.8 kbp	0.0	251.0	56.0	36.26513702995538	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_G01_3G38B_10471048_DMT79_R1	Plate3_G01_3G38B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4179.0	1 Mbp	0.0	251.0	57.0	36.85092127303183	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_G01_3G38B_10471048_DMT79_R2	Plate3_G01_3G38B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4179.0	1 Mbp	0.0	251.0	55.0	29.26537449150515	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_G02_3G39B_10471048_DMT79_R1	Plate3_G02_3G39B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4619.0	1.1 Mbp	0.0	251.0	57.0	34.293137042649924	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_G02_3G39B_10471048_DMT79_R2	Plate3_G02_3G39B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4619.0	1.1 Mbp	0.0	251.0	55.0	27.1703831998268	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_G03_3G40B_10471048_DMT79_R1	Plate3_G03_3G40B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4178.0	1 Mbp	0.0	251.0	57.0	36.06988989947343	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_G03_3G40B_10471048_DMT79_R2	Plate3_G03_3G40B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4178.0	1 Mbp	0.0	251.0	55.0	30.086165629487795	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_G04_3S1B_10471048_DMT79_R1	Plate3_G04_3S1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2965.0	744.2 kbp	0.0	251.0	58.0	38.81956155143339	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate3_G04_3S1B_10471048_DMT79_R2	Plate3_G04_3S1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2965.0	744.2 kbp	0.0	251.0	56.0	29.443507588532885	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_G05_3S2B_10471048_DMT79_R1	Plate3_G05_3S2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4041.0	1 Mbp	0.0	251.0	58.0	35.70898292501856	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_G05_3S2B_10471048_DMT79_R2	Plate3_G05_3S2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4041.0	1 Mbp	0.0	251.0	56.0	27.765404602821086	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_G06_3S3B_10471048_DMT79_R1	Plate3_G06_3S3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4188.0	1 Mbp	0.0	251.0	58.0	35.74498567335244	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_G06_3S3B_10471048_DMT79_R2	Plate3_G06_3S3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4188.0	1 Mbp	0.0	251.0	56.0	26.552053486150907	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_G07_3S4B_10471048_DMT79_R1	Plate3_G07_3S4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3442.0	863.9 kbp	0.0	251.0	58.0	38.29169087739686	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	warn	pass
Plate3_G07_3S4B_10471048_DMT79_R2	Plate3_G07_3S4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3442.0	863.9 kbp	0.0	251.0	56.0	25.740848343986055	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_G08_3S5B_10471048_DMT79_R1	Plate3_G08_3S5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3082.0	773.5 kbp	0.0	251.0	58.0	38.870863075924724	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_G08_3S5B_10471048_DMT79_R2	Plate3_G08_3S5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3082.0	773.5 kbp	0.0	251.0	56.0	29.883192731992214	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
